,Importers,Country,Product,Quantity,Year,Month,Unit,Values
0,Malaysia,Australia,070200,149,2018,M08,Tons,1
1,Singapore,Australia,070200,243,2018,M08,Tons,104
2,"Hong Kong, China",Australia,070200,237,2018,M08,Tons,31
3,Qatar,Australia,070200,13,2018,M08,Tons,0
4,Brunei Darussalam,Australia,070200,2,2018,M08,Tons,13
5,Indonesia,Australia,070200,186,2018,M08,Tons,9
6,Papua New Guinea,Australia,070200,81,2018,M08,Tons,3
7,Kuwait,Australia,070200,26,2018,M08,Tons,0
8,Fiji,Australia,070200,30,2018,M08,Tons,3
9,Nauru,Australia,070200,3,2018,M08,Tons,9
10,New Caledonia,Australia,070200,0,2018,M08,Tons,0
11,Vanuatu,Australia,070200,1,2018,M08,Tons,0
12,New Zealand,Australia,070200,152,2018,M08,Tons,612
13,French Polynesia,Australia,070200,0,2018,M08,Tons,0
14,Solomon Islands,Australia,070200,0,2018,M08,Tons,0
15,Malaysia,Australia,070200,81,2018,M09,Tons,1
16,Singapore,Australia,070200,54,2018,M09,Tons,81
17,"Hong Kong, China",Australia,070200,2,2018,M09,Tons,19
18,Qatar,Australia,070200,14,2018,M09,Tons,0
19,Brunei Darussalam,Australia,070200,2,2018,M09,Tons,13
20,Indonesia,Australia,070200,78,2018,M09,Tons,33
21,Papua New Guinea,Australia,070200,56,2018,M09,Tons,2
22,Kuwait,Australia,070200,0,2018,M09,Tons,0
23,Fiji,Australia,070200,53,2018,M09,Tons,4
24,Nauru,Australia,070200,3,2018,M09,Tons,7
25,New Caledonia,Australia,070200,0,2018,M09,Tons,0
26,Vanuatu,Australia,070200,1,2018,M09,Tons,0
27,New Zealand,Australia,070200,77,2018,M09,Tons,11
28,French Polynesia,Australia,070200,5,2018,M09,Tons,0
29,Solomon Islands,Australia,070200,14,2018,M09,Tons,0
30,Malaysia,Australia,070200,9,2018,M10,Tons,2
31,Singapore,Australia,070200,33,2018,M10,Tons,70
32,"Hong Kong, China",Australia,070200,2,2018,M10,Tons,30
33,Qatar,Australia,070200,0,2018,M10,Tons,0
34,Brunei Darussalam,Australia,070200,2,2018,M10,Tons,13
35,Indonesia,Australia,070200,52,2018,M10,Tons,17
36,Papua New Guinea,Australia,070200,99,2018,M10,Tons,6
37,Kuwait,Australia,070200,0,2018,M10,Tons,0
38,Fiji,Australia,070200,0,2018,M10,Tons,5
39,Nauru,Australia,070200,3,2018,M10,Tons,0
40,New Caledonia,Australia,070200,0,2018,M10,Tons,0
41,Vanuatu,Australia,070200,0,2018,M10,Tons,0
42,New Zealand,Australia,070200,25,2018,M10,Tons,0
43,French Polynesia,Australia,070200,16,2018,M10,Tons,0
44,Solomon Islands,Australia,070200,0,2018,M10,Tons,0
45,Malaysia,Australia,070200,17,2018,M11,Tons,1
46,Singapore,Australia,070200,25,2018,M11,Tons,75
47,"Hong Kong, China",Australia,070200,4,2018,M11,Tons,37
48,Qatar,Australia,070200,1,2018,M11,Tons,0
49,Brunei Darussalam,Australia,070200,2,2018,M11,Tons,14
50,Indonesia,Australia,070200,52,2018,M11,Tons,8
51,Papua New Guinea,Australia,070200,78,2018,M11,Tons,5
52,Kuwait,Australia,070200,0,2018,M11,Tons,0
53,Fiji,Australia,070200,1,2018,M11,Tons,2
54,Nauru,Australia,070200,0,2018,M11,Tons,0
55,New Caledonia,Australia,070200,58,2018,M11,Tons,0
56,Vanuatu,Australia,070200,2,2018,M11,Tons,0
57,New Zealand,Australia,070200,0,2018,M11,Tons,0
58,French Polynesia,Australia,070200,30,2018,M11,Tons,0
59,Solomon Islands,Australia,070200,14,2018,M11,Tons,0
60,Malaysia,Australia,070200,40,2018,M12,Tons,2
61,Singapore,Australia,070200,18,2018,M12,Tons,70
62,"Hong Kong, China",Australia,070200,2,2018,M12,Tons,30
63,Qatar,Australia,070200,0,2018,M12,Tons,0
64,Brunei Darussalam,Australia,070200,2,2018,M12,Tons,11
65,Indonesia,Australia,070200,52,2018,M12,Tons,8
66,Papua New Guinea,Australia,070200,104,2018,M12,Tons,5
67,Kuwait,Australia,070200,0,2018,M12,Tons,2
68,Fiji,Australia,070200,73,2018,M12,Tons,2
69,Nauru,Australia,070200,5,2018,M12,Tons,0
70,New Caledonia,Australia,070200,147,2018,M12,Tons,24
71,Vanuatu,Australia,070200,1,2018,M12,Tons,0
72,New Zealand,Australia,070200,0,2018,M12,Tons,0
73,French Polynesia,Australia,070200,13,2018,M12,Tons,0
74,Solomon Islands,Australia,070200,32,2018,M12,Tons,0
